stock_name,n_traded_days,net_pnl,gross_pnl,cost_pnl,slippage_fut1,slippage_fut2,total_lots_traded,total_volume,max_delta_qty,max_gross_qty,drawdown,market_perc
SUPREMEIND,225,8441.18,9702.0,1260.82,3454.0,5764.0,6,2640,1,1,216.57,0.6579
SHREECEM,225,238.73,1538.6,1299.87,699.3,1644.3,6,336,3,3,351.76,0.6579
360ONE,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GAIL,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SUZLON,60,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SUNPHARMA,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SRF,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SOLARINDS,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SIEMENS,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SHRIRAMFIN,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SBIN,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SBILIFE,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SAIL,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
LUPIN,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
LTIM,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
LAURUSLABS,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GRASIM,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GODREJPROP,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GODREJCP,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GMRAIRPORT,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
GLENMARK,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SYNGENE,225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
SONACOMS,225,-4412.52,78197.1,82609.62,138153.75,212777.55,404,1342896,40,40,389920.15,44.2982
LT,225,-10525.17,8652.75,19177.92,11466.45,17454.9,84,41832,1,40,82287.24,9.2105
SBICARD,225,-16074.35,1176.25,17250.6,32770.32,28253.52,82,154324,40,40,30119.65,8.9912
LICI,225,-35715.16,-15000.75,20714.41,25780.05,63348.3,80,169920,1,40,84821.38,8.7719
LODHA,225,-38560.16,-5343.8,33216.36,55068.9,39870.3,128,177664,40,40,208256.05,14.0351
LTF,225,-73950.96,-64058.4,9892.56,12605.04,14317.2,38,448704,19,19,73950.96,4.1667
LICHSGFIN,225,-77852.56,-57904.87,19947.68,26525.62,50568.0,84,252840,1,40,161871.42,9.2105
