UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg,entry_E,tp_off,stop_off
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-1090502.6999999993,0.0,-1090502.6999999993,641725.0000000012,440511.2021492008,201213.79785080033,327243.7,382987.5,641725.0000000012,335348.17013600003,934,52304,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-52206.14999999653,0.0,-52206.14999999653,244756.4500000033,180886.4364726833,63870.01352732,137411.99999999994,124902.65,244756.4500000033,348509.4931390332,258,358104,2,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,226054.12499999977,0.0,226054.12499999977,214516.49999999965,176262.43657934965,38254.06342065002,50498.25,80767.5,214516.49999999965,103420.44248249954,256,84480,40,0,E2.0_TP1.0_SL2.0,2.0,1.0,2.0
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-151900.92499999984,-0.0,-151900.92499999984,192222.77500000072,156080.2763023207,36142.49869768,43356.575000000026,78291.20000000001,192222.77500000072,41110.729153890425,164,308648,40,-2,E2.5_TP1.0_SL2.0,2.5,1.0,2.0
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,7512.99999999932,0.0,7512.99999999932,176802.99999999953,147856.61602799952,28946.383972000007,68948.0,95667.0,176802.99999999953,263222.5327292001,128,56320,40,-12,E1.5_TP1.0_SL1.5,1.5,1.0,1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,440261.27999999904,0.0,440261.27999999904,187688.15999999916,136117.7947641592,51570.36523583996,82124.63999999996,121740.47999999992,187688.15999999916,202069.40645030895,190,2243520,0,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,49698.399999999965,-0.0,49698.399999999965,152423.99999999977,115219.90286447977,37204.09713552001,53633.09999999999,72832.1,152423.99999999977,222671.61957196204,202,58984,40,0,E2.5_TP1.0_SL2.0,2.5,1.0,2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,9356.619999999804,0.0,9356.619999999804,146931.71999999968,113392.63049285566,33539.08950714402,36165.48,46001.280000000035,146931.71999999968,61281.615323968035,142,1432496,40,0,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-215739.9999999999,0.0,-215739.9999999999,131379.99999999965,81476.02143999966,49903.97855999999,54860.0,89560.0,131379.99999999965,91460.17879200212,252,201600,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-221505.89999999493,0.0,-221505.89999999493,75128.70000000653,49205.01011634652,25923.68988366001,46361.70000000001,58738.200000000026,75128.70000000653,21298.8228527405,142,189996,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-81731.99999999935,0.0,-81731.99999999935,85012.40000000162,47519.29992968163,37493.10007032,22156.60000000001,23880.200000000015,85012.40000000162,78283.79468528788,166,369184,40,0,E2.5_TP1.0_SL2.0,2.5,1.0,2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-5484.050000000081,-0.0,-5484.050000000081,79461.19999999924,44701.61676200925,34759.58323798999,55933.474999999984,101263.17500000005,79461.19999999924,138682.0363864,144,220896,40,-1,E2.5_TP1.0_SL1.5,2.5,1.0,1.5
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,-219810.2999999967,0.0,-219810.2999999967,47063.10000000332,29039.478177163313,18023.621822840003,26754.5,14702.2,47063.10000000332,20026.28665615863,82,47888,0,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,-110057.60000000177,0.0,-110057.60000000177,67530.89999999866,28764.088439118663,38766.81156087999,46585.399999999994,55305.900000000016,67530.89999999866,99398.68143427654,166,108232,40,-40,E1.5_TP1.0_SL2.0,1.5,1.0,2.0
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,26070.624999999935,0.0,26070.624999999935,30458.75000000013,23941.900648750132,6516.849351250001,6268.75,7006.25,30458.75000000013,2575.460949499899,26,76700,2,-1,E2.0_TP1.0_SL2.0,2.0,1.0,2.0
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,701987.2499999969,0.0,701987.2499999969,104872.19999999549,22190.547820375432,82681.65217962004,139607.99999999985,214564.2000000001,104872.19999999549,290145.2863719562,404,1342896,0,-40,E2.0_TP1.0_SL2.0,2.0,1.0,2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-318971.6999999991,0.0,-318971.6999999991,53604.450000000776,8780.174717760783,44824.27528223999,59312.69999999998,101447.55000000005,53604.450000000776,104626.5351926381,184,390816,40,-7,E2.0_TP1.0_SL1.5,2.0,1.0,1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-8602.949999999932,0.0,-8602.949999999932,5241.450000000158,3878.2843110001577,1363.1656890000002,883.95,1220.1,5241.450000000158,2495.3667567600905,6,2988,2,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP0.5_SL2.0,2.5,0.5,2.0
