UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg,entry_E,tp_off,stop_off
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-541762.3750000005,0.0,-541762.3750000005,-131950.8749999999,-174656.0531432499,42705.17814325001,69756.75,78974.875,-131950.8749999999,200686.0945260501,188,565880,40,-40,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-285359.39999999903,0.0,-285359.39999999903,-49701.59999999913,-71068.52860451913,21366.92860452,24266.7,49914.00000000001,-49701.59999999913,85619.69438129922,82,174168,40,0,E1.5_TP0.5_SL1.5,1.5,0.5,1.5
