UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-152531.99999999514,0.0,-152531.99999999514,11138.850000005186,-3467.5237240148126,14606.373724019999,29168.4,39705.15,11138.850000005186,17558.964241077218,80,107040,0,-40,E2.0_TP1.0_SL2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,114599.67999999959,0.0,114599.67999999959,148318.81999999873,109501.29066905472,38817.52933094401,36089.82000000001,55282.24000000002,148318.81999999873,213667.73552155358,164,1654432,40,0,E2.0_TP1.0_SL2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-93458.95000000048,-0.0,-93458.95000000048,-3470.675000001781,-53401.39874706178,49930.72374706,84082.37499999994,125596.25000000003,-3470.675000001781,153083.31137580238,206,316004,40,-1,E2.0_TP1.0_SL2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,18533.09999999997,0.0,18533.09999999997,12192.40000000003,8949.662456320031,3242.73754368,3667.5000000000005,5297.5,12192.40000000003,2285.2420373995546,14,9128,5,0,E2.0_TP1.0_SL2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-276769.5,0.0,-276769.5,-167393.6249999996,-187257.8165167496,19864.191516750005,26224.625,43344.0,-167393.6249999996,233012.51657704965,84,252840,40,-1,E2.0_TP1.0_SL2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-326219.849999999,0.0,-326219.849999999,52462.800000000934,7140.582282060961,45322.21771793997,60587.09999999998,109173.60000000003,52462.800000000934,99497.3185393199,186,395064,40,-7,E2.0_TP1.0_SL2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-81614.39999999487,0.0,-81614.39999999487,7304.3500000052445,-18369.84852477476,25674.198524780004,62737.6,33086.44999999999,7304.3500000052445,154246.30682443533,102,141576,0,-40,E2.0_TP1.0_SL2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-127512.90000000021,0.0,-127512.90000000021,-116283.00000000013,-134539.40813682013,18256.408136820002,11927.099999999995,14267.699999999999,-116283.00000000013,142632.6263673604,82,40836,40,0,E2.0_TP1.0_SL2.0
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-361442.8799999995,0.0,-361442.8799999995,-102316.31999999924,-140562.01035993523,38245.69035993601,55999.43999999999,49800.23999999998,-102316.31999999924,151577.48769926338,130,1535040,0,-40,E2.0_TP1.0_SL2.0
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-13884.599999999919,-0.0,-13884.599999999919,142240.49999999974,88345.69846603973,53894.80153396002,79088.2,112164.5,142240.49999999974,230040.83734852212,290,84680,40,-1,E2.0_TP1.0_SL2.0
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-17859.999999999767,0.0,-17859.999999999767,62819.99999999998,39501.41341599998,23318.586583999997,26120.0,37620.0,62819.99999999998,60923.96076800193,116,92800,40,-8,E2.0_TP1.0_SL2.0
